time(s), x(g), y(g), z(g)
15671, 1.28, -0.61, -0.77

15724, 0.36, -1.06, -0.33

15777, -2.00, -0.81, -1.86

15831, 1.57, -1.30, 0.62

15884, 2.00, -1.16, 0.00

15938, 0.05, -0.85, 0.21

15991, 2.00, -1.77, -0.41

16045, 2.00, -1.55, -0.78

16098, -0.22, -1.69, 0.40

16151, -2.00, -0.72, 0.54

16204, -1.37, -0.60, 0.14

16258, -0.02, -0.39, -0.21

16311, -0.29, -0.91, 0.47

16365, 1.23, -1.23, -0.37

16418, -1.58, -1.01, 0.70

16472, -2.00, -0.98, 0.54

16525, 2.00, -1.46, -1.00

16578, 0.35, -0.94, -0.36

16631, -2.00, -0.94, 0.31

16685, 0.77, -1.06, -0.73

16738, -2.00, -0.62, 0.36

16792, -1.43, -1.02, 0.50

16845, 0.42, -0.67, -1.14

16899, -2.00, -1.36, 0.27

16952, 1.57, -1.35, -0.11

17005, 0.13, -1.21, 0.25

17058, -2.00, -1.25, 0.27

17112, 1.54, -1.03, -0.96

17165, 2.00, -1.19, -0.40

17219, -2.00, -0.93, 0.39

17272, 1.18, -0.95, -0.38

17326, -1.67, -0.89, 0.29

17379, 1.77, -1.17, 0.54

17432, 2.00, -1.35, -0.91

17485, -1.88, -1.21, -0.18

17539, -1.12, -0.93, 0.37

17593, 0.47, -0.62, -0.52

17646, -2.00, -1.06, 0.36

17699, 1.36, -0.95, -0.76

17753, 2.00, -1.10, -0.54

17806, -2.00, -1.48, 0.69

17859, -0.96, -0.43, -0.18

17912, 0.46, -0.53, 0.01

17966, 0.37, -1.07, 0.64

18020, 1.78, -1.45, -0.85

18073, -2.00, -0.88, 0.43

18126, -2.00, -1.25, 0.56

18180, 1.34, -1.09, -0.66

18233, -0.81, -0.52, 0.17

18286, 0.20, -1.10, -0.52

18339, 1.91, -1.42, -0.94

18393, -1.97, -1.14, 0.73

18447, -1.34, -0.92, 0.39

18500, 2.00, -1.23, -0.52

18553, -1.67, -1.28, 0.41

18607, -0.87, -0.82, -0.71

18660, -0.77, -0.63, 0.46

18713, -2.00, -1.23, 0.66

18766, 2.00, -1.30, -0.61

18821, 1.20, -0.84, -0.23

18874, -0.71, -1.20, 0.08

18927, 2.00, -1.30, -0.66

18980, -1.12, -1.16, 0.75

19034, -1.34, -1.41, 0.77

19087, 2.00, -0.95, -0.77

19140, -2.00, -1.53, -0.16

19193, -0.27, -1.16, -0.25

19248, -0.73, -0.70, -0.14

19301, -1.11, -1.48, 0.65

19354, 1.23, -0.87, -0.91

19407, 1.55, -0.61, -0.64

19461, -2.00, -1.34, 0.45

19514, 1.01, -1.17, -0.53

19567, -1.39, -0.96, 0.18

19621, 0.20, -1.30, 0.44

19675, 2.00, -1.33, -0.64

19728, -2.00, -1.09, -0.40

19781, -0.16, -1.08, 0.18

19834, 1.54, -0.97, -0.66

19888, -0.72, -1.21, 0.61

19941, 1.03, -1.25, -0.44

19995, 2.00, -1.39, -0.83

20048, -2.00, -1.30, 0.58

20102, -0.67, -0.73, 0.06

20155, 0.11, -0.58, -0.39

20208, -1.42, -1.02, 0.33

20261, 2.00, -1.50, -0.51

20315, 0.30, -1.04, 0.80

20368, -2.00, -1.52, 0.46

20422, 2.00, -1.23, -0.72

20475, 1.23, -0.80, -0.12

20529, -0.28, -1.20, -0.11

20582, 2.00, -1.45, -0.60

20635, -1.05, -0.71, 0.68

20688, -1.81, -1.09, 0.42

20742, 2.00, -1.35, -0.79

20795, -2.00, -1.38, 0.04

20849, -0.09, -1.45, -0.07

20902, -0.18, -0.31, -0.14

20956, -1.80, -1.01, 0.61

21009, 2.00, -1.55, -0.69

21062, 2.00, -1.17, -0.70

21115, -2.00, -1.15, 0.29

21169, 0.24, -1.36, -0.21

21222, -0.07, -0.89, 0.11

21276, -0.16, -0.88, 0.81

21329, 2.00, -1.27, -0.60

21383, -2.00, -0.98, -0.76

21436, -2.00, -1.36, 0.32

21489, 2.00, -1.29, -0.69

21542, -0.35, -0.90, 0.30

21596, -0.61, -1.18, -0.10

21649, 2.00, -1.43, -0.89

21703, -1.69, -1.22, 0.72

